Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
23.77628,90.18959,7.1,0,
23.77623,90.18959,7.1,0.006,
23.7761,90.18956,7.1,0.02,
23.77595,90.18949,7,0.039,
23.7755,90.18931,7.4,0.092,
23.77524,90.18907,7.8,0.13,
23.77508,90.18896,8,0.151,1
23.77499,90.18884,8,0.167,1
23.77493,90.18867,7.9,0.185,1
23.77478,90.18825,7.6,0.231,0
23.77468,90.18799,7.2,0.26,-1
23.77464,90.18791,7,0.269,-1
23.77459,90.18784,6.8,0.278,-1
23.77455,90.18781,6.7,0.284,-1
23.7745,90.1878,6.6,0.289,-1
23.77444,90.18779,6.5,0.296,-1
23.77437,90.18779,6.5,0.304,-1
23.77365,90.18772,6.8,0.384,0
23.7733,90.18767,6.6,0.424,0
23.77317,90.18764,6.5,0.438,0
23.77305,90.18761,6.5,0.452,0
23.77293,90.1876,6.4,0.465,0
23.77284,90.1876,6.4,0.475,0
23.77273,90.18759,6.3,0.488,0
23.77262,90.18758,6.3,0.5,0
23.77249,90.18759,6.2,0.515,0
23.77234,90.1876,6.2,0.531,0
23.77218,90.18767,5.9,0.55,-1
23.77204,90.18776,5.7,0.569,-1
23.77194,90.18788,5.8,0.585,-1
23.77183,90.18803,6,0.605,0
23.77174,90.18811,6,0.618,0
23.7716,90.18824,6.4,0.638,0
23.77142,90.18842,7.2,0.665,1
23.77122,90.18857,7.9,0.692,2
23.77092,90.18874,8.8,0.73,2
23.77081,90.18879,8.9,0.743,2
23.77063,90.18884,9,0.764,2
23.77043,90.18897,9,0.79,1
23.77024,90.18908,9.1,0.814,1
23.77009,90.18915,9.3,0.832,1
23.76991,90.1893,9.6,0.857,1
23.76978,90.18945,9.7,0.878,1
23.76952,90.18979,10.6,0.923,1
23.76937,90.18995,11.1,0.946,2
23.76926,90.19,11.4,0.96,2
23.76914,90.19006,11.6,0.974,2
23.76912,90.19007,11.7,0.977,2
23.76903,90.19013,11.8,0.989,2
23.76895,90.19016,12,0.998,2
23.76891,90.19021,12,1.005,2
23.76884,90.19037,11.7,1.023,1
23.76881,90.19046,11.6,1.033,1
23.76876,90.19061,11.4,1.049,0
23.76874,90.19073,11.3,1.061,0
23.76865,90.19105,10.8,1.095,-1
23.76861,90.19119,10.6,1.11,-1
23.76852,90.19148,10.4,1.142,-1
23.76843,90.19179,10.4,1.175,-1
23.76838,90.19191,10.5,1.188,-1
23.76832,90.19207,10.7,1.206,0
23.76828,90.19219,10.8,1.219,0
23.76823,90.19233,10.9,1.234,0
23.76817,90.19238,10.8,1.242,0
23.76814,90.19239,10.8,1.246,0
23.76808,90.1924,10.8,1.253,0
23.76802,90.1924,10.9,1.259,0
23.76797,90.1924,10.9,1.265,0
23.76788,90.1924,10.9,1.275,0
23.76783,90.19242,10.9,1.281,0
23.76779,90.19248,10.9,1.288,0
23.76775,90.19255,10.9,1.297,0
23.76776,90.19267,10.8,1.309,0
23.76777,90.19295,10.7,1.338,0
23.7678,90.19315,10.2,1.358,-1
23.76781,90.19325,9.9,1.369,-1
23.7678,90.19345,9.4,1.389,-1
23.76777,90.19363,9,1.408,-2
23.76775,90.19377,9,1.422,-2
23.76777,90.19395,9,1.44,-2
23.76776,90.19417,9,1.463,-1
23.76777,90.19429,9,1.475,-1
23.76778,90.19434,9.1,1.48,-1
23.76781,90.19441,9.3,1.488,-1
23.76785,90.19443,9.3,1.493,0
23.7679,90.19443,9.3,1.499,0
23.76792,90.19444,9.3,1.501,0
23.76795,90.19446,9.4,1.505,0
23.76796,90.1945,9.5,1.509,1
23.76796,90.19456,9.7,1.515,1
23.76799,90.19488,10.6,1.548,2
23.76801,90.19501,11,1.562,2
23.76803,90.19539,10.6,1.6,1
23.76808,90.19553,10.4,1.616,1
23.76815,90.19568,10.1,1.633,0
23.7682,90.19582,9.7,1.648,0
23.76822,90.19604,9,1.671,-2
23.76828,90.19629,8.4,1.697,-2
23.76838,90.19661,8.1,1.732,-2
23.76846,90.19691,7.9,1.763,-2
23.76862,90.19696,8.3,1.782,-1
23.76872,90.19709,8.4,1.799,0
23.76888,90.19734,8.9,1.83,0
23.76904,90.1979,9,1.89,1
23.7692,90.19846,8.8,1.95,0
23.76938,90.19929,10.3,2.037,1
23.76939,90.19956,10.4,2.064,1
23.76939,90.19963,10.4,2.071,1
23.76955,90.19963,10.8,2.089,1
23.76971,90.19963,11,2.107,1
23.76985,90.19963,11,2.123,1
23.77007,90.19963,11,2.147,1
23.77037,90.19963,10.9,2.18,0
23.77066,90.19962,10.5,2.213,-1
23.77088,90.19959,10.1,2.237,-1
23.77102,90.19954,10.1,2.254,-1
23.77139,90.19934,11,2.3,0
23.77148,90.19928,11.1,2.312,0
23.77151,90.19926,11.1,2.315,1
23.77158,90.1992,11.1,2.325,1
23.77167,90.19919,11.2,2.335,1
23.77185,90.1992,11.2,2.355,1
23.77188,90.1992,11.2,2.359,1
23.77209,90.19951,12.1,2.398,1
23.77217,90.19976,12.8,2.425,2
23.77229,90.2002,12.9,2.472,2
23.77242,90.20055,12.6,2.51,0
23.77248,90.20086,11.7,2.543,-1
23.77249,90.20115,11.1,2.572,-2
23.77252,90.20137,10.9,2.595,-2
23.77255,90.2015,10.9,2.608,-2
