Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
53.27807,15.59046,94.6,0,
53.278089,15.590648,94.6,0.013,
53.278109,15.590837,94.6,0.025,
53.278128,15.591025,94.7,0.038,
53.278147,15.591214,94.7,0.051,
53.278167,15.591402,94.8,0.064,
53.278186,15.591591,94.9,0.076,0
53.278205,15.591779,94.7,0.089,0
53.278225,15.591968,94.2,0.102,0
53.278244,15.592156,93.7,0.115,-1
53.278263,15.592344,93.3,0.127,-1
53.278283,15.592533,92.6,0.14,-2
53.278302,15.592721,92,0.153,-3
53.278321,15.59291,91.4,0.165,-3
53.278341,15.593098,90.8,0.178,-4
53.27836,15.593287,90.2,0.191,-4
53.278379,15.593475,89.6,0.204,-5
53.278399,15.593664,89,0.216,-5
53.278418,15.593852,88.3,0.229,-5
53.278437,15.594041,87.7,0.242,-5
53.278457,15.594229,87.1,0.255,-5
53.278476,15.594417,86.6,0.267,-5
53.278495,15.594606,86.1,0.28,-5
53.278515,15.594794,85.7,0.293,-4
53.278534,15.594983,85.3,0.305,-4
53.278553,15.595171,85,0.318,-4
53.278573,15.59536,84.9,0.331,-3
53.278592,15.595548,84.8,0.344,-3
53.278611,15.595737,84.7,0.356,-2
53.278631,15.595925,84.5,0.369,-2
53.27865,15.596114,84.3,0.382,-2
53.278669,15.596302,84,0.395,-2
53.278688,15.59649,83.8,0.407,-1
53.278708,15.596679,83.9,0.42,-1
53.278727,15.596867,83.9,0.433,-1
53.278746,15.597056,83.9,0.445,-1
53.278766,15.597244,83.8,0.458,-1
53.278785,15.597433,83.6,0.471,-1
53.278804,15.597621,83.4,0.484,-1
53.278824,15.59781,83.2,0.496,-1
53.278843,15.597998,83,0.509,-1
53.278862,15.598187,82.7,0.522,-1
53.278882,15.598375,82.4,0.535,-1
53.278901,15.598563,82.2,0.547,-2
53.27892,15.598752,82.1,0.56,-2
53.27894,15.59894,82,0.573,-2
53.278959,15.599129,81.8,0.585,-2
53.278978,15.599317,81.6,0.598,-2
53.278998,15.599506,81.3,0.611,-2
53.279017,15.599694,81,0.624,-2
53.279036,15.599883,80.7,0.636,-2
53.279056,15.600071,81.2,0.649,-1
53.279075,15.60026,81.7,0.662,0
53.279094,15.600448,82.3,0.675,0
53.279113,15.600636,82.9,0.687,1
53.279133,15.600825,83.6,0.7,2
53.279152,15.601013,84.4,0.713,3
53.279171,15.601202,85.2,0.725,4
53.279191,15.60139,85.9,0.738,5
53.27921,15.601579,86.6,0.751,5
53.279229,15.601767,87.3,0.764,5
53.279249,15.601956,88,0.776,6
53.279268,15.602144,88.5,0.789,6
53.279287,15.602333,89.1,0.802,5
53.279307,15.602521,89.6,0.815,5
53.279326,15.60271,90.3,0.827,5
53.279345,15.602898,91.1,0.84,5
53.279365,15.603086,91.9,0.853,5
53.279384,15.603275,92.7,0.865,5
53.279403,15.603463,92.8,0.878,5
53.279423,15.603652,92.5,0.891,4
53.279442,15.60384,92.3,0.904,3
53.279461,15.604029,92,0.916,2
53.27948,15.604217,91.7,0.929,1
53.2795,15.604406,91.5,0.942,0
53.279519,15.604594,91.2,0.955,-1
53.279538,15.604783,90.9,0.967,-2
53.279558,15.604971,90.6,0.98,-2
53.279577,15.60516,90.3,0.993,-2
53.279596,15.605348,90.1,1.005,-2
53.279616,15.605536,89.8,1.018,-2
53.279635,15.605725,89.6,1.031,-2
53.279654,15.605913,89.4,1.044,-2
53.279674,15.606102,89.3,1.056,-2
53.279693,15.60629,89.4,1.069,-2
53.279712,15.606479,89.5,1.082,-1
53.279731,15.606667,89.7,1.094,-1
53.279751,15.606856,90,1.107,0
53.27977,15.607044,90.6,1.12,1
53.279789,15.607233,91.1,1.133,1
53.279809,15.607421,91.6,1.145,2
53.279828,15.60761,92,1.158,3
53.279847,15.607798,92.4,1.171,3
53.279867,15.607986,92.7,1.184,3
53.279886,15.608175,93.1,1.196,3
53.279905,15.608363,93.3,1.209,3
53.279925,15.608552,93.6,1.222,3
53.279944,15.60874,93.9,1.234,3
53.279963,15.608929,94.2,1.247,2
53.279982,15.609117,94.4,1.26,2
53.280002,15.609306,94.7,1.273,2
53.280021,15.609494,95,1.285,2
53.28004,15.609683,95.2,1.298,2
53.28006,15.609871,95.5,1.311,2
53.280079,15.61006,95.8,1.324,2
53.280098,15.610248,96.1,1.336,2
53.280118,15.610437,96.6,1.349,2
53.280137,15.610625,97.1,1.362,3
53.280156,15.610813,97.7,1.374,3
53.280175,15.611002,98,1.387,3
53.280195,15.61119,98.4,1.4,3
53.280214,15.611379,98.7,1.413,3
53.280233,15.611567,99,1.425,3
53.280253,15.611756,99.3,1.438,3
53.280272,15.611944,99.6,1.451,3
53.280291,15.612133,99.9,1.464,3
53.280311,15.612321,100.1,1.476,2
53.28033,15.61251,100.1,1.489,2
53.280349,15.612698,100.2,1.502,2
53.280368,15.612887,100.3,1.514,2
53.280388,15.613075,100.5,1.527,2
53.280407,15.613264,100.8,1.54,2
53.280426,15.613452,101,1.553,1
53.280446,15.613641,101.3,1.565,1
53.280465,15.613829,101.1,1.578,1
53.280484,15.614017,101,1.591,1
53.280503,15.614206,100.8,1.604,1
53.280523,15.614394,100.7,1.616,0
53.280542,15.614583,100.7,1.629,0
53.280561,15.614771,100.6,1.642,0
53.280581,15.61496,100.5,1.654,-1
53.2806,15.615148,100.5,1.667,-1
53.280619,15.615337,100.5,1.68,-1
53.280639,15.615525,100.6,1.693,0
53.280658,15.615714,100.6,1.705,0
53.280677,15.615902,100.7,1.718,0
53.280696,15.616091,100.8,1.731,0
53.280716,15.616279,101,1.744,0
53.280735,15.616468,101,1.756,0
53.280754,15.616656,101,1.769,0
53.280774,15.616845,101,1.782,0
53.280793,15.617033,101,1.794,0
53.280812,15.617221,101,1.807,0
53.280831,15.61741,101,1.82,0
53.280851,15.617598,101,1.833,0
53.28087,15.617787,101.1,1.845,0
53.280889,15.617975,101.3,1.858,0
53.280909,15.618164,101.6,1.871,1
53.280928,15.618352,101.9,1.884,1
53.280947,15.618541,102,1.896,1
53.280966,15.618729,102,1.909,1
53.280986,15.618918,102,1.922,1
53.281005,15.619106,102.1,1.934,1
53.281024,15.619295,102.4,1.947,1
53.281044,15.619483,102.7,1.96,1
53.281063,15.619672,103,1.973,1
53.281082,15.61986,103.4,1.985,1
53.281101,15.620049,104,1.998,2
53.281121,15.620237,104.7,2.011,3
53.28114,15.620426,105.3,2.024,3
53.281159,15.620614,106.2,2.036,4
53.281179,15.620802,107.2,2.049,5
53.281198,15.620991,108.2,2.062,5
53.281217,15.621179,109.2,2.074,6
53.281236,15.621368,110.1,2.087,7
53.281256,15.621556,111,2.1,7
53.281275,15.621745,111.9,2.113,7
53.281294,15.621933,112.7,2.125,7
53.281314,15.622122,113.3,2.138,7
53.281333,15.62231,113.9,2.151,7
53.281352,15.622499,114.4,2.164,6
53.281371,15.622687,115.1,2.176,6
53.281391,15.622876,115.7,2.189,6
53.28141,15.623064,116.4,2.202,5
53.281429,15.623253,117,2.214,5
53.281449,15.623441,117,2.227,4
53.281468,15.62363,117,2.24,4
53.281487,15.623818,117,2.253,3
53.281506,15.624007,117,2.265,3
53.281526,15.624195,117,2.278,2
53.281545,15.624384,117,2.291,1
53.281564,15.624572,117,2.304,1
53.281584,15.624761,117.2,2.316,0
53.281603,15.624949,117.5,2.329,0
53.281622,15.625137,117.7,2.342,1
53.281641,15.625326,118.1,2.354,1
53.281661,15.625514,118.7,2.367,2
53.28168,15.625703,119.3,2.38,2
53.281699,15.625891,119.9,2.393,3
53.281718,15.62608,120.5,2.405,3
53.281738,15.626268,121.2,2.418,4
53.281757,15.626457,122,2.431,4
53.281776,15.626645,122.7,2.444,5
53.281796,15.626834,123.3,2.456,5
53.281815,15.627022,123.8,2.469,5
53.281834,15.627211,124.3,2.482,5
53.281853,15.627399,124.7,2.494,5
53.281873,15.627588,125,2.507,4
53.281892,15.627776,125.4,2.52,4
53.281911,15.627965,125.7,2.533,4
53.28193,15.628153,125.9,2.545,3
53.28195,15.628342,125.9,2.558,3
53.281969,15.62853,126,2.571,2
53.281988,15.628719,126,2.584,2
53.282008,15.628907,125.8,2.596,1
53.282027,15.629096,125.6,2.609,1
53.282046,15.629284,125.4,2.622,0
53.282065,15.629473,125.2,2.634,0
53.282085,15.629661,125,2.647,-1
53.282104,15.62985,124.8,2.66,-1
53.282123,15.630038,124.5,2.673,-1
53.282142,15.630227,124.5,2.685,-2
53.282162,15.630415,124.5,2.698,-1
53.282181,15.630603,124.6,2.711,-1
53.2822,15.630792,124.7,2.724,-1
53.28222,15.63098,124.5,2.736,-1
53.282239,15.631169,124.4,2.749,-1
53.282258,15.631357,124.2,2.762,-1
53.282277,15.631546,123.9,2.774,-1
53.282297,15.631734,123.7,2.787,-1
53.282316,15.631923,123.4,2.8,-1
53.282335,15.632111,123.1,2.813,-1
53.282354,15.6323,123.3,2.825,-1
53.282374,15.632488,123.6,2.838,-1
53.282393,15.632677,123.9,2.851,0
53.282412,15.632865,124.1,2.864,0
53.282431,15.633054,124.2,2.876,0
53.282451,15.633242,124.2,2.889,1
53.28247,15.633431,124.2,2.902,1
53.282489,15.633619,124.2,2.914,1
53.282509,15.633808,124.3,2.927,1
53.282528,15.633996,124.3,2.94,1
53.282547,15.634185,124.3,2.953,0
53.282566,15.634373,124.6,2.965,0
53.282586,15.634562,124.9,2.978,1
53.282605,15.63475,125.2,2.991,1
53.282624,15.634939,125.4,3.004,1
53.282643,15.635127,125.5,3.016,1
53.282663,15.635316,125.5,3.029,1
53.282682,15.635504,125.5,3.042,1
53.282701,15.635693,125.6,3.054,1
53.28272,15.635881,125.6,3.067,1
53.28274,15.63607,125.6,3.08,1
53.282759,15.636258,125.6,3.093,0
53.282778,15.636447,125.5,3.105,0
53.282797,15.636635,125.3,3.118,0
53.282817,15.636824,125.2,3.131,0
53.282836,15.637012,124.8,3.143,-1
53.282855,15.637201,123.9,3.156,-2
53.282874,15.637389,122.9,3.169,-3
53.282894,15.637578,121.9,3.182,-4
53.282913,15.637766,120.9,3.194,-5
53.282932,15.637955,119.8,3.207,-6
